domain,attack_type,corruption_rate,baseline_recall,poisoned_recall,baseline_prauc,poisoned_prauc,kl_divergence,n_missed_per_1000,recall_degradation
credit,label_flip,0.075,1.0,1.0,1.0,0.9972305153339636,0.3545530943676227,0.0,0.0
credit,label_flip,0.1,1.0,0.9642857142857144,1.0,0.9941584995464304,0.4788531863150018,10.0,0.0357142857142857
credit,targeted_flip,0.001,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,targeted_flip,0.003,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,targeted_flip,0.005,1.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0
credit,targeted_flip,0.01,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,targeted_flip,0.015,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,targeted_flip,0.02,1.0,1.0,1.0,1.0,0.0050174418034689,0.0,0.0
credit,targeted_flip,0.025,1.0,1.0,1.0,1.0,0.0317320314627959,0.0,0.0
credit,targeted_flip,0.03,1.0,1.0,1.0,1.0,0.0152003820632102,0.0,0.0
credit,targeted_flip,0.04,1.0,1.0,1.0,1.0,0.0151152754502009,0.0,0.0
credit,targeted_flip,0.05,1.0,0.9821428571428572,1.0,0.998119914935121,0.0410332628861641,5.0,0.0178571428571429
credit,targeted_flip,0.075,1.0,0.9464285714285714,1.0,0.9984329947124864,0.083856524194483,15.0,0.0535714285714286
credit,targeted_flip,0.1,1.0,0.9642857142857144,1.0,0.9964234805458542,0.1411661457761648,10.0,0.0357142857142857
credit,feature_perturb,0.001,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,feature_perturb,0.003,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,feature_perturb,0.005,1.0,1.0,1.0,1.0,0.0050451814366282,0.0,0.0
credit,feature_perturb,0.01,1.0,1.0,1.0,1.0,0.0102025728263521,0.0,0.0
credit,feature_perturb,0.015,1.0,1.0,1.0,1.0,0.0050174418034689,0.0,0.0
credit,feature_perturb,0.02,1.0,1.0,1.0,1.0,0.0410332630879037,0.0,0.0
credit,feature_perturb,0.025,1.0,1.0,1.0,1.0,0.0460622487294537,0.0,0.0
credit,feature_perturb,0.03,1.0,0.9821428571428572,1.0,0.9990431639162842,0.0566295404579399,5.0,0.0178571428571429
credit,feature_perturb,0.04,1.0,1.0,1.0,1.0,0.1063255423977174,0.0,0.0
credit,feature_perturb,0.05,1.0,0.9821428571428572,1.0,0.997208594976452,0.1284130792753332,5.0,0.0178571428571429
credit,feature_perturb,0.075,1.0,1.0,1.0,0.9990653589021816,0.2800171804713417,0.0,0.0
credit,feature_perturb,0.1,1.0,1.0,1.0,0.9967587532312844,0.51927419572898,0.0,0.0
credit,gain_guided,0.001,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,gain_guided,0.003,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,gain_guided,0.005,1.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0
